#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
20800,-429947.4130183426,91771.73637906458,-338175.676639278,302.47051671403784,457.0025397491518
20850,-430788.4243964185,92496.47268292113,-338291.9517134974,304.8591754989545,457.0025397491518
20900,-429347.5329646445,92074.54741534093,-337272.9855493036,303.46855177606284,457.0025397491518
20950,-429648.22100766725,92568.13016668372,-337080.09084098355,305.09535143933965,457.0025397491518
21000,-430054.3013337967,92317.20764967159,-337737.0936841251,304.2683357766703,457.0025397491518
21050,-430226.524718591,91966.38181599305,-338260.14290259796,303.11204871731826,455.3239543843356
21100,-430399.7541386015,90524.04168317528,-339875.7124554262,298.3582390754392,457.20466368657424
21150,-430697.1978813375,91854.83609424166,-338842.36178709584,302.7444051112736,457.20466368657424
21200,-430900.55172497476,92628.30676744432,-338272.24495753046,305.2936875310855,455.59702764977425
21250,-431789.62926255306,92636.7301954458,-339152.89906710724,305.32145031209666,456.0298138767157
21300,-430539.1110191238,91479.17418404255,-339059.93683508126,301.5062608135742,456.12937080084697
21350,-430470.78056480363,91355.00153730692,-339115.7790274967,301.0970001184868,456.12937080084697
21400,-430064.67287733173,92572.68776060663,-337491.9851167251,305.1103728156721,456.12937080084697
21450,-429663.953332681,92376.96818207856,-337286.9851506024,304.4653005484992,456.3325147444021
21500,-431180.99018575577,92153.9121006057,-339027.0780851501,303.7301298861438,456.3325147444021
21550,-431588.13447122835,91561.42572717738,-340026.70874405093,301.77735372010653,456.28005273746436
21600,-430429.36874876847,91107.06659942947,-339322.302149339,300.27983121954065,456.28005273746436
21650,-429628.94851899566,92395.99469024027,-337232.9538287554,304.5280100272778,456.28005273746436
21700,-429806.032773247,90799.04495116633,-339006.9878220807,299.2646224985851,456.28005273746436
21750,-429279.3117646354,92468.65583806198,-336810.6559265734,304.76749394459074,456.28005273746436
21800,-428890.8684433517,91638.5281957273,-337252.34024762444,302.0314757888652,456.28005273746436
21850,-429275.2285399698,92901.88259668785,-336373.3459432819,306.1953662580736,456.28005273746436
21900,-429193.89176570973,91525.54952313569,-337668.342242574,301.6591093193533,456.28005273746436
21950,-429814.996999308,92260.4029338551,-337554.5940654529,304.0811130823776,456.28005273746436
22000,-428707.3832783995,92255.29335003409,-336452.08992836537,304.06427240223456,456.28005273746436
22050,-429426.1742462928,90639.31864859849,-338786.8555976943,298.7381804895665,456.28005273746436
22100,-430029.8028333285,90990.4364500774,-339039.3663832511,299.89542984575337,456.28005273746436
22150,-429219.05613051774,92240.04683335252,-336979.0092971652,304.014021399467,456.28005273746436
22200,-429572.12722505233,91502.67302282577,-338069.4542022266,301.583710649323,456.28005273746436
22250,-429814.49007955357,92149.23561816713,-337665.2544613864,303.71471666508677,456.28005273746436
22300,-431117.013242461,91265.0794234644,-339851.93381899665,300.8006257737144,455.9346183373027
22350,-429168.48026773706,92146.71885645046,-337021.7614112866,303.7064216687521,455.9346183373027
22400,-430178.6186534043,92077.53846840403,-338101.08018500026,303.47840998950863,455.74711798000834
22450,-430864.6507619957,92276.46533086925,-338588.18543112645,304.1340531455848,455.74711798000834
22500,-430618.57469289005,91416.73149024023,-339201.84320264985,301.30045590451823,455.74711798000834
22550,-430867.97488521924,91728.74965149854,-339139.22523372073,302.32883673486606,455.3201423506771
22600,-429954.78591140476,91303.65522226003,-338651.1306891447,300.92776777031105,455.3201423506771
22650,-430877.2576793246,91712.77966042604,-339164.4780188986,302.27620123245316,455.3201423506771
22700,-430328.3727340838,92189.55560087907,-338138.8171332047,303.8476073184183,455.356130890855
22750,-431119.0200383635,90985.35881590401,-340133.6612224595,299.87869446847156,455.356130890855
22800,-431065.3362117619,92161.4782786335,-338903.8579331284,303.7550672564924,455.356130890855
22850,-431091.6189210408,91889.85640152563,-339201.7625195152,302.8598285614294,455.356130890855
22900,-431929.75533722737,90488.38146170042,-341441.37387552694,298.24070653174743,455.5697310958629
22950,-430924.2269467821,91261.47806685187,-339662.74887993024,300.78875606046233,455.5697310958629
23000,-431581.1638753938,92447.86288664344,-339133.30098875036,304.6989624445045,455.66829623458966
23050,-430745.3537106272,92300.6738479436,-338444.6798626836,304.21384201040604,455.66829623458966
23100,-429783.7863467848,92551.3505690911,-337232.4357776937,305.04004755434903,454.5685969759795
23150,-430838.5673299264,91385.76002841667,-339452.8073015098,301.19837704635574,454.5685969759795
23200,-430846.2530651067,91688.46439454099,-339157.7886705657,302.19606053416766,454.5685969759795
23250,-430948.46879548486,91414.70044024164,-339533.76835524326,301.29376176570395,454.4814951426845
23300,-431010.6617768118,92041.60656384625,-338969.0552129656,303.35998200539353,454.4814951426845
23350,-430356.3737185979,91672.20689574885,-338684.1668228491,302.14247743490245,454.4814951426845
23400,-431543.71521508414,91870.07030796353,-339673.6449071206,302.7946155647094,454.89273283585084
23450,-430798.9262272769,92265.34114935398,-338533.5850779229,304.0973889495729,454.89273283585084
23500,-430492.3868162676,92628.51828871694,-337863.8685275507,305.2943846841649,454.89273283585084
23550,-430819.1108966719,92649.64344485992,-338169.467451812,305.3640110979863,454.5072441549595
23600,-430510.9271645015,92335.96833740882,-338174.95882709266,304.33016913776476,454.5072441549595
23650,-430900.9518679392,91726.57044059034,-339174.3814273489,302.32165427242785,454.5072441549595
23700,-430650.16424439056,91595.34879463977,-339054.8154497508,301.88916077692727,454.98306195956036
23750,-429978.537837985,91668.02146245964,-338310.51637552533,302.12868266300853,453.86577890662574
23800,-430772.7393800565,91794.21322863875,-338978.52615141775,302.544598174987,454.18622785066424
23850,-429335.09370771516,93208.78073037563,-336126.31297733955,307.20687198671845,453.8344074834063
23900,-429169.8546063467,90709.03606250399,-338460.8185438427,298.9679621526361,453.8344074834063
23950,-429706.91580891516,91876.90090496559,-337830.0149039496,302.81712853314826,453.8344074834063
24000,-431004.43989028106,91538.55194346163,-339465.8879468194,301.7019640037005,453.8344074834063
24050,-429618.1868236873,91437.07538172154,-338181.11144196574,301.36750734770885,455.15794660380305
24100,-430674.0884031877,91000.82512367617,-339673.26327951154,299.9296698808162,454.62728997666187
24150,-429561.2133072107,91931.44481721778,-337629.76848999294,302.9968998437223,454.62728997666187
24200,-430102.8350174371,91469.02698367694,-338633.8080337602,301.4728166502742,453.7223316963008
24250,-431177.61374200694,91856.43202753796,-339321.181714469,302.74966514870795,453.7223316963008
24300,-430369.97659072396,91787.40158573951,-338582.57500498445,302.52214767738616,453.7223316963008
24350,-430573.22325616144,90215.39883396716,-340357.8244221943,297.3409829379453,453.7223316963008
24400,-430358.5206281103,91221.867466395,-339136.65316171525,300.6582034604979,453.7223316963008
24450,-430387.4115089623,92864.15751683868,-337523.2539921236,306.07102814652336,453.7223316963008
24500,-429765.63313415763,91815.22568163773,-337950.40745251987,302.6138531304537,453.7223316963008
24550,-430405.53214772744,91758.5391383396,-338646.99300938786,302.4270199210297,453.7223316963008
24600,-430770.35570075596,91077.39687915434,-339692.9588216016,300.18204277206803,453.7223316963008
24650,-430377.1607744375,91464.30756924245,-338912.85320519505,301.45726192962803,453.79734933724524
24700,-430130.230219807,91906.15910482724,-338224.0711149798,302.91356065026235,453.79734933724524
24750,-429848.5755114658,92282.60749727866,-337565.9680141871,304.15429711525235,453.4120701643702
24800,-430771.9477763341,91447.05041968953,-339324.8973566446,301.4003840808673,453.4120701643702
24850,-430788.8835485312,93143.75535828403,-337645.12819024717,306.99255482685976,453.17035706683555
24900,-429360.4703757805,92037.61343710542,-337322.85693867505,303.34682105675887,454.4733589935062
24950,-429643.53511722176,91783.67977826492,-337859.8553389568,302.5098809700712,454.0357310064688
25000,-430474.47896063933,91622.76397818715,-338851.71498245216,301.9795184955514,454.55179558166816
25050,-429839.6697856777,92241.61395320829,-337598.05583246937,304.01918647066685,454.55179558166816
25100,-431426.20480279205,91121.81606419242,-340304.3887385996,300.32844398861454,453.4947731780643
25150,-430241.31286412897,91797.81623350299,-338443.496630626,302.55647332071277,453.4947731780643
25200,-431116.8987569546,91439.78308334488,-339677.1156736097,301.37643166298756,453.4947731780643
25250,-429665.85555184423,90991.72219632806,-338674.1333555162,299.89966753753237,453.4947731780643
25300,-430151.67407607846,92572.13884411954,-337579.5352319589,305.10856364151863,452.8256211998661
25350,-430357.4469493269,92279.67890279248,-338077.7680465344,304.14464475906476,452.621045883662
25400,-430851.24808566016,93070.17098855686,-337781.0770971033,306.7500280619577,452.621045883662
25450,-430560.3761447214,91737.61404452655,-338822.7621001949,302.3580528927522,452.621045883662
25500,-429857.99444706854,91560.75767190532,-338297.2367751632,301.77515187636567,453.19234126844935
25550,-430566.27531923074,92072.2261643062,-338494.0491549246,303.460901163493,453.25398542238787
25600,-428723.2928019825,92087.75827308213,-336635.53452890035,303.51209344940236,453.25398542238787
25650,-430660.78292654874,92934.14185079472,-337726.641075754,306.3016895515352,452.9110436439061
25700,-429633.3799932287,91281.14650549417,-338352.2334877346,300.8535812782671,452.9110436439061
25750,-430447.28951595956,92146.06329488699,-338301.2262210726,303.70426100303234,453.4441710887095
25800,-430920.0165800012,91519.29285753705,-339400.7237224642,301.63848797174455,452.1974073343435
25850,-430192.2244733523,91389.74553961903,-338802.4789337333,301.21151289493304,452.46623957283225
25900,-431784.14721499966,91896.27346502809,-339887.87374997156,302.88097856457813,452.46623957283225
25950,-430859.51846004627,91597.62678134372,-339261.89167870255,301.8966687945654,452.57711833222925
26000,-430327.5788173764,92741.11584785412,-337586.4629695223,305.6654950416315,452.57711833222925
26050,-430604.5832255762,92057.73260393302,-338546.8506216432,303.41313182983896,452.9104370166073
26100,-430430.31446130155,91014.74630639327,-339415.56815490825,299.9755527146368,452.9104370166073
26150,-429742.4740320032,92170.76860061297,-337571.7054313902,303.78568723384535,452.9104370166073
26200,-430335.51798632345,92285.48269478965,-338050.0352915338,304.16377348031983,452.93744692821747
26250,-430253.1248775448,92294.59209053166,-337958.53278701316,304.1937971427866,453.10931210886554
26300,-430509.96810218017,90714.4372593622,-339795.53084281797,298.9857639603498,453.13176887945707
26350,-429176.7584395823,93235.29151390883,-335941.4669256735,307.29424889283547,452.45172332042586
26400,-430857.79532366665,91637.72565070442,-339220.06967296224,302.0288306802802,452.45172332042586
26450,-430451.89721432887,91346.26255497892,-339105.6346593499,301.0681973017962,452.45172332042586
26500,-430811.68454261776,92512.04448022092,-338299.6400623968,304.91049859429165,452.45172332042586
26550,-430212.7236455539,92573.57401094995,-337639.149634604,305.1132938086691,452.45172332042586
26600,-428997.35023385985,91691.13602090394,-337306.2142129559,302.2048659489757,452.51881050215707
26650,-429759.7631468447,91635.41049770426,-338124.3526491404,302.02120016622587,452.51881050215707
26700,-430494.53505336307,92487.81973876462,-338006.71531459846,304.830656255521,452.51881050215707
26750,-430029.6973940467,92206.9885067053,-337822.70888734143,303.90506444237747,451.8153872195489
26800,-430060.41994313034,91612.83306615042,-338447.5868769799,301.94678719707423,451.8153872195489
26850,-429633.3721525867,91115.3298778272,-338518.0422747595,300.30706616338426,451.4442582342582
26900,-430327.11430879263,92183.53197596043,-338143.5823328322,303.82775404971574,450.86291140659137
26950,-430116.5420311806,91482.50031661856,-338634.041714562,301.51722341577204,451.48859235031483
27000,-432068.7374771817,91823.7686292335,-340244.96884794824,302.64200983616183,451.48859235031483
27050,-430537.9512348869,91778.64340709987,-338759.307827787,302.49328159156136,451.48859235031483
27100,-430622.244068698,91883.55747984676,-338738.68658885127,302.83906794198253,451.6183745278223
27150,-429929.680020137,91768.84195575138,-338160.8380643856,302.4609769826382,452.2516376592994
27200,-430191.7474336303,92411.17847934496,-337780.56895428535,304.57805428618997,452.2516376592994
27250,-430165.3526841039,90816.97358192579,-339348.3791021781,299.3237134826261,451.6990935176726
27300,-430386.8103157142,91298.61467164868,-339088.1956440655,300.9111546167619,451.0608700531201
27350,-430256.93777355645,91705.94729545532,-338550.9904781011,302.25368243696545,451.0608700531201
27400,-430088.12729806686,92214.19753577851,-337873.92976228835,303.92882468528904,451.80519499810924
27450,-429857.5182821923,91838.09529065539,-338019.4229915369,302.68922908747,451.80519499810924
27500,-429884.58779646317,92602.53262390335,-337282.0551725598,305.20873851712656,451.80519499810924
27550,-429703.66178131895,92457.36169053151,-337246.30009078747,304.7302695574954,451.4420952421105
27600,-429803.5005975119,92872.86533561253,-336930.6352618993,306.0997282512386,451.10876401302255
27650,-429992.06629922055,91713.1540618033,-338278.91223741724,302.2774352221596,451.1505324252967
27700,-429737.7237669332,92141.98731856685,-337595.7364483663,303.6908269904233,451.1505324252967
27750,-429779.4920971538,92852.7337042248,-336926.758392929,306.03337639620787,451.09963216960966
27800,-428636.16866119276,91328.62984471933,-337307.53881647345,301.01008164229444,451.09963216960966
27850,-429567.52847720473,91741.11476868094,-337826.4137085238,302.3695909314298,451.39699548123633
27900,-429339.716762919,92547.1950010078,-336792.52176191116,305.0263512152038,451.39699548123633
27950,-430403.2075514521,90682.6333804804,-339720.5741709717,298.8809415383445,451.39699548123633
28000,-430383.31911442964,91605.29893068699,-338778.0201837426,301.9219554358313,451.39699548123633
28050,-429524.83636032627,91522.4036377889,-338002.43272253737,301.648740794098,451.4245134895164
28100,-430367.50004489906,92501.01172662909,-337866.48831826996,304.8741357356233,451.0267230159221
28150,-430517.7839227882,92344.59193564841,-338173.1919871398,304.35859165997454,451.61657160950057
28200,-431060.44610549905,92048.92333053902,-339011.52277496003,303.38409734078505,450.8203596519482
28250,-430684.4135162174,91966.92647889623,-338717.48703732115,303.1138438720822,450.5497796042581
28300,-431215.14566429984,91035.34888492347,-340179.79677937634,300.04345676461503,450.5326969519735
28350,-430323.11294810846,92487.63734619529,-337835.4756019132,304.8300551077508,451.20474933108216
28400,-430009.97669572267,91781.0224198476,-338228.95427587506,302.5011225809931,450.64353629359465
28450,-430081.07130387845,92952.06214570238,-337129.0091581761,306.3607530614376,450.64353629359465
28500,-430000.2965324081,92215.10268774405,-337785.193844664,303.9318079761531,450.64353629359465
28550,-430928.2128063196,92270.03102626406,-338658.1817800555,304.11284631747606,450.64353629359465
28600,-429723.7509049389,93065.72098589502,-336658.0299190439,306.73536129572216,450.64353629359465
28650,-430187.8405230432,92082.44520133968,-338105.3953217035,303.49458209330635,450.64353629359465
28700,-430620.4610688188,91655.42137104683,-338965.039697772,302.0871540147487,450.64353629359465
28750,-429619.5648890417,90914.66133931864,-338704.9035497231,299.6456826162731,450.64353629359465
28800,-430450.1516397293,91208.74606497132,-339241.40557475796,300.61495662628477,450.64353629359465
28850,-430555.9299270918,91434.72092479409,-339121.2090022977,301.3597472918188,450.64353629359465
28900,-429345.9094046722,93092.88300069407,-336253.0264039781,306.82488459532857,451.26046722662767
28950,-430505.28563388996,92125.78805866482,-338379.49757522513,303.6374358407483,450.867093641689
29000,-430513.3840668567,91801.43893435884,-338711.9451324979,302.56841338246824,451.1194946996696
29050,-429063.6628121517,91734.08112888431,-337329.5816832674,302.34640875413197,451.1194946996696
29100,-430129.6571722557,91739.49677657861,-338390.1603956771,302.36425819036447,450.06109589709916
29150,-429784.25270826416,92590.98055865467,-337193.2721496095,305.1706640588811,450.2788791128188
29200,-430694.200851802,92767.60838890221,-337926.5924628998,305.7528118223317,450.2788791128188
29250,-430914.05832778616,92830.4165962204,-338083.64173156576,305.95982142758686,450.3346913971469
29300,-429276.0092193503,91928.07088366465,-337347.93833568564,302.9857796942576,450.8888283184031
29350,-430400.7836401588,92381.18415683918,-338019.5994833197,304.47919598204567,449.96673692671885
29400,-429383.8580167112,92247.60744845404,-337136.2505682572,304.0389404349639,449.96673692671885
29450,-427755.0597433089,92134.79379323254,-335620.2659500764,303.6671178462934,450.10912672180166
29500,-429085.25396666536,91580.6920804804,-337504.56188618497,301.84085370461906,450.78385100578555
29550,-429643.80109138414,91578.2911253378,-338065.5099660463,301.832940395236,450.8539501996484
29600,-429470.1795908848,91567.4523437343,-337902.7272471505,301.79721684895134,450.8539501996484
29650,-429381.6498252426,92353.672710573,-337027.9771146696,304.3885209910734,451.05805509672007
29700,-429600.6733643487,92041.99885986919,-337558.6745044795,303.3612749740726,450.9421966240713
29750,-428953.7956354702,92293.56625642837,-336660.2293790418,304.1904160955979,450.3628045463641
29800,-428501.8066351968,91546.2794906915,-336955.5271445053,301.72743323089145,450.7102644195981
29850,-428644.8328491263,92542.42949030318,-336102.40335882315,305.01064456583543,450.7102644195981
29900,-429595.9028792209,90684.18342029974,-338911.7194589212,298.8860503154428,450.49112357422905
29950,-429653.4010778237,91863.24124998703,-337790.1598278367,302.7721076687457,450.49112357422905
30000,-428866.13992297626,91632.83169727263,-337233.30822570366,302.01270069645625,450.49112357422905
30050,-429379.9916559104,91432.93898506,-337947.0526708504,301.3538741956632,449.77768658704906
30100,-429446.71045899927,91109.5437846439,-338337.1666743554,300.2879957756597,450.22381251542015
30150,-428744.71463989327,92227.1144443956,-336517.6001954977,303.9713975315477,450.22381251542015
30200,-429813.39350673044,91789.53749812253,-338023.8560086079,302.52918743219124,450.22381251542015
30250,-430879.4422489053,91851.14438766858,-339028.29786123673,302.73223761353654,449.7657166653511
30300,-430096.6315460871,91162.91821577656,-338933.71333031054,300.46391259276476,449.7657166653511
30350,-429460.8884216428,92312.03204937655,-337148.8563722663,304.25127751279393,448.8789370534617
30400,-428914.09631526005,93799.99826339423,-335114.0980518658,309.15546618094726,449.7522430894736
30450,-429577.9518093178,91528.93827962437,-338049.0135296934,301.67027832373947,449.7522430894736
30500,-428921.70903707366,90978.36851929166,-337943.340517782,299.8556551459988,449.0949137283228
30550,-429289.8638747737,90968.18382176824,-338321.68005300546,299.8220873957956,449.0949137283228
30600,-427623.2868357056,90568.07527921374,-337055.2115564919,298.5033694289885,449.0949137283228
30650,-428204.0896316094,91592.94429510087,-336611.1453365085,301.88123578556645,449.0067180407214
30700,-429001.36065927474,91164.92728972985,-337836.4333695449,300.4705343007191,449.0067180407214
30750,-429832.86673160945,91518.67234791475,-338314.1943836947,301.6364428337371,449.0067180407214
30800,-429482.5526576203,92773.95688962181,-336708.5957679985,305.7737358493664,448.96786394810607
30850,-428935.28051749035,92302.73457478186,-336632.5459427085,304.22063396113253,448.96786394810607
30900,-429110.7121247847,91528.79661336978,-337581.91551141493,301.66981140585256,448.96786394810607
30950,-428608.7310348805,91749.59187578547,-336859.139159095,302.39753063342647,449.0253396759933
31000,-428445.74160211347,92044.0693331578,-336401.6722689557,303.36809904813026,449.0253396759933
31050,-429190.9222767013,91908.49299346516,-337282.42928323615,302.9212529151156,449.0253396759933
31100,-427929.7423782069,91579.02101176811,-336350.7213664388,301.83534602832555,448.12535720614915
31150,-429470.2067331276,91560.98569823203,-337909.22103489557,301.7759034284621,448.6433600349554
31200,-428957.49987147306,91147.07318898785,-337810.4266824852,300.41168896020395,448.6433600349554
31250,-430023.56494513457,90728.13042985144,-339295.4345152831,299.03089528854247,448.6433600349554
31300,-430057.0435625301,91710.74669141776,-338346.2968711123,302.2695007687738,448.6433600349554
31350,-428219.0358961616,92281.29072034766,-335937.7451758139,304.14995714943683,448.82958166837074
31400,-428422.0938711562,91553.89182386803,-336868.2020472882,301.75252272402037,448.7171443958575
31450,-428362.64180085086,90714.68458366455,-337647.95721718634,298.9865791166548,448.7171443958575
31500,-429270.14299863274,92842.66702278308,-336427.47597584967,306.00019761527363,448.7171443958575
31550,-429684.7413392861,91675.23941327927,-338009.5019260068,302.152472311109,448.7171443958575
31600,-429455.88796286704,90955.43490915626,-338500.45305371075,299.7800682476631,448.3462684601393
31650,-429209.87476881174,91617.42602578587,-337592.4487430259,301.96192513527825,448.3462684601393
31700,-428485.6117673351,91353.2604631033,-337132.3513042318,301.09126171105567,448.3462684601393
31750,-429038.59769038344,91962.28378909561,-337076.31390128785,303.09854202819935,448.3462684601393
31800,-429835.414002897,91078.94422284361,-338756.46978005336,300.1871426629897,448.89634633779775
31850,-429627.9728325687,91976.28779389721,-337651.6850386715,303.14469783537413,448.02060268190127
31900,-430433.10768657294,91899.45910563413,-338533.6485809388,302.89147811921436,448.02060268190127
31950,-429966.3599730367,92229.37718480406,-337736.9827882326,303.9788552989121,448.02060268190127
32000,-429866.4129052495,90910.94164105062,-338955.4712641989,299.6334228606932,447.42823258974715
32050,-430352.37185001676,92458.7200011576,-337893.65184885915,304.7347464142395,447.9200363940075
32100,-429721.29670119565,93497.18050221316,-336224.11619898246,308.157408954305,447.9200363940075
32150,-430097.50904370006,91424.50869918898,-338673.00034451106,301.32608881179596,447.9200363940075
32200,-429460.5809612402,92953.38102189958,-336507.19993934064,306.36509994622577,447.5914536948293
32250,-429860.8705972608,91493.07263814888,-338367.79795911186,301.552068736154,447.6761109399631
32300,-428707.4681512893,92645.78063291524,-336061.68751837406,305.3512796539603,447.94133157021554
32350,-428799.00222141854,92355.48017392994,-336443.5220474886,304.3944782105517,448.06555341761714
32400,-429811.42560257204,91755.6841937192,-338055.74140885286,302.41761030747546,447.6406426823711
32450,-429237.20782398176,91832.49918488684,-337404.70863909496,302.6707848793708,447.6406426823711
32500,-429463.40792047046,92323.62496636607,-337139.78295410436,304.2894866143147,447.13358111771333
32550,-429210.13352618995,92132.13910453444,-337077.99442165555,303.6583682563443,448.27939458977966
32600,-429358.316500223,92026.66527646905,-337331.6512237539,303.3107370080592,448.33730171758134
32650,-429728.116435203,92870.33658233806,-336857.7798528649,306.091393731922,447.50910921439663
32700,-429590.5359164481,91982.76157457966,-337607.77434186847,303.1660347727077,447.94947683669466
32750,-430865.104519699,93105.40624107851,-337759.6982786205,306.8661599502414,447.8006623434897
32800,-430092.96965558245,91266.4805262048,-338826.48912937765,300.8052436690119,447.6383996558403
32850,-430192.8933511097,92464.05063602775,-337728.84271508193,304.7523156566578,447.6383996558403
32900,-429566.8344013421,92424.08024601897,-337142.75415532314,304.6205772261101,447.6383996558403
32950,-429548.3202259159,91534.6617839417,-338013.6584419742,301.6891424247861,447.6175714253915
33000,-429392.8974791579,90430.11082440882,-338962.78665474907,298.0486523060538,448.59959731998794
33050,-428164.17363615474,91849.48420433505,-336314.6894318197,302.72676581436883,448.59959731998794
33100,-427920.86642849445,91772.68986519464,-336148.17656329984,302.47365930950156,448.59959731998794
33150,-428743.69050538307,92874.34923899721,-335869.34126638586,306.10461904922533,448.59959731998794
33200,-428515.3552432256,91986.81416630831,-336528.54107691726,303.1793917120287,448.59959731998794
33250,-430038.7075854859,92469.2114948732,-337569.49609061267,304.7693253341823,448.59959731998794
33300,-429579.1628995382,91958.65920651836,-337620.5036930198,303.08659576447735,448.59959731998794
33350,-428844.5114287338,92712.57731588579,-336131.934112848,305.57143487832525,448.7519774365236
33400,-429009.0237388895,92537.76999090526,-336471.25374798424,304.9952873191915,449.1206092250137
33450,-427997.06373976986,93231.63220370948,-334765.4315360604,307.2821881703245,449.22205054886007
33500,-428967.08256465895,92512.73611156938,-336454.34645308956,304.91277814243574,448.826360961825
33550,-429214.666734064,91828.92271435418,-337385.7440197098,302.65899718816314,447.88417430670376
33600,-428937.3263308767,92786.6202894305,-336150.7060414462,305.8154731558032,447.88417430670376
33650,-429445.37380373897,91133.97322150698,-338311.400582232,300.3685127701348,447.88417430670376
33700,-429342.8504098607,90957.2891441992,-338385.5612656615,299.78617962196716,447.88417430670376
33750,-428170.2755284461,91723.2985671735,-336446.9769612726,302.3108705030227,448.32631378900544
33800,-428178.5377976259,91790.20409434967,-336388.33370327624,302.53138446706515,448.7286326117352
33850,-429438.42406000313,92611.41965370669,-336827.0044062964,305.2380292835731,448.7286326117352
33900,-429350.80522707757,91650.5065649889,-337700.2986620887,302.0709553027428,447.6818911217373
33950,-429696.5060771238,91714.58666874311,-337981.9194083807,302.2821569521653,447.6818911217373
34000,-428845.1815610186,91964.18865387836,-336880.99290714023,303.10482027309087,447.6818911217373
